"","park","guild","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign","guildsign"
"141","WOTR","Tree",2,6,16,"c2_Tree",-0.335492977708218,0.421833294888496,0.0292228502232139,"2","0","Tree_0"
"142","WOTR","Tree",3,6,16,"c3_Tree",-0.397342753343937,0.420531641616546,0.00636205273721388,"3","0","Tree_0"
"143","ROCR","Herbaceous",1,19,17,"c1_Herbaceous",0.698527742687452,1.10140259788115,0.901444715588873,"1","0","Herbaceous_0"
"144","ROCR","Herbaceous",2,19,17,"c2_Herbaceous",0.854542373648708,1.15806232037524,1.00546693405185,"2","0","Herbaceous_0"
"145","ROCR","Herbaceous",3,19,17,"c3_Herbaceous",0.905936182428709,1.31133147713131,1.10948915251483,"3","0","Herbaceous_0"
"146","ROCR","Shrub",1,19,17,"c1_Shrub",-0.157544980577732,0.254598218987523,0.0498646768734423,"1","0","Shrub_0"
"147","ROCR","Shrub",2,19,17,"c2_Shrub",-0.0890462881194117,0.213216244100804,0.0605237633687943,"2","0","Shrub_0"
"148","ROCR","Shrub",3,19,17,"c3_Shrub",-0.127071237540531,0.269843824114605,0.0711828498641463,"3","0","Shrub_0"
"149","ROCR","Tree",1,19,17,"c1_Tree",-0.186021615339018,0.205610556344852,0.00161353940620113,"1","0","Tree_0"
"150","ROCR","Tree",2,19,17,"c2_Tree",-0.154576573319449,0.162845415321027,0.00339950479615982,"2","0","Tree_0"
"151","ROCR","Tree",3,19,17,"c3_Tree",-0.209605052596264,0.213108849037343,0.00518547018611851,"3","0","Tree_0"
"152","HAFE","Graminoid",1,21,18,"c1_Graminoid",-0.060043527176661,0.165958916178452,0.0537421841883989,"1","0","Graminoid_0"
"153","HAFE","Graminoid",2,20,18,"c2_Graminoid",0.0393957600471035,0.203084249884615,0.119686973133655,"2","0","Graminoid_0"
"154","HAFE","Graminoid",3,20,18,"c3_Graminoid",0.0718777082732016,0.299376921539806,0.185631762078912,"3","0","Graminoid_0"
"155","HAFE","Herbaceous",1,21,18,"c1_Herbaceous",0.42836530736862,0.660535991425009,0.544151128850286,"1","0","Herbaceous_0"
"156","HAFE","Herbaceous",2,20,18,"c2_Herbaceous",0.436770395329675,0.59639119535078,0.517405455204902,"2","0","Herbaceous_0"
"157","HAFE","Herbaceous",3,20,18,"c3_Herbaceous",0.378719140014891,0.605135992160287,0.490659781559517,"3","0","Herbaceous_0"
"158","HAFE","Shrub",1,21,18,"c1_Shrub",-0.0509899415207226,0.187408825209719,0.0671061688775939,"1","0","Shrub_0"
"159","HAFE","Shrub",2,20,18,"c2_Shrub",-0.0100663426501688,0.159846841513767,0.0770659653796048,"2","0","Shrub_0"
"160","HAFE","Shrub",3,20,18,"c3_Shrub",-0.0379033864433046,0.195603162426388,0.0870257618816157,"3","0","Shrub_0"
"161","HAFE","Tree",1,21,18,"c1_Tree",-0.0969755237720748,0.128578323921309,0.0185447821306281,"1","0","Tree_0"
"162","HAFE","Tree",2,20,18,"c2_Tree",-0.0519129048420866,0.112208699830692,0.0291338594491064,"2","0","Tree_0"
"163","HAFE","Tree",3,20,18,"c3_Tree",-0.06975730437673,0.152882484547369,0.0397229367675846,"3","0","Tree_0"
"164","CHOH","Graminoid",1,74,19,"c1_Graminoid",0.231594578174281,0.447175752411907,0.344807076468762,"1","0","Graminoid_0"
"165","CHOH","Graminoid",2,75,19,"c2_Graminoid",0.312409474544226,0.479180052774345,0.395114997911932,"2","0","Graminoid_0"
"166","CHOH","Graminoid",3,75,19,"c3_Graminoid",0.349491610570298,0.557829549922863,0.445422919355102,"3","0","Graminoid_0"
"167","CHOH","Herbaceous",1,74,19,"c1_Herbaceous",1.04898469365129,1.27210920026243,1.16533501460699,"1","0","Herbaceous_0"
"168","CHOH","Herbaceous",2,75,19,"c2_Herbaceous",1.13154502749902,1.29138373056398,1.2116399554168,"2","0","Herbaceous_0"
"169","CHOH","Herbaceous",3,75,19,"c3_Herbaceous",1.15556669263113,1.36296929469081,1.25794489622662,"3","0","Herbaceous_0"
"170","CHOH","Shrub",1,74,19,"c1_Shrub",0.083164071362664,0.290093921133166,0.18618754323526,"1","0","Shrub_0"
"171","CHOH","Shrub",2,75,19,"c2_Shrub",0.148887460032812,0.31583253790638,0.231699754073326,"2","0","Shrub_0"
"172","CHOH","Shrub",3,75,19,"c3_Shrub",0.171793703650461,0.387776995841815,0.277211964911392,"3","0","Shrub_0"
"173","CHOH","Tree",1,74,19,"c1_Tree",-0.0895924386868467,0.125343968362326,0.0172425946835007,"1","0","Tree_0"
"174","CHOH","Tree",2,75,19,"c2_Tree",-0.0648985651759245,0.100711914139039,0.0169211956834658,"2","0","Tree_0"
"175","CHOH","Tree",3,75,19,"c3_Tree",-0.0928519434617592,0.124170004214267,0.0165997966834309,"3","0","Tree_0"
"176","MONO","Graminoid",1,6,20,"c1_Graminoid",0.32102413667638,0.808598613229407,0.55815135639862,"1","0","Graminoid_0"
"177","MONO","Graminoid",2,15,20,"c2_Graminoid",0.501639689237384,0.829400681093231,0.663989690992943,"2","0","Graminoid_0"
"178","MONO","Graminoid",3,15,20,"c3_Graminoid",0.581843861026603,0.962401886866051,0.769828025587266,"3","0","Graminoid_0"
"179","MONO","Herbaceous",1,6,20,"c1_Herbaceous",1.1114663946243,1.60966359111614,1.35662251660367,"1","0","Herbaceous_0"
"180","MONO","Herbaceous",2,15,20,"c2_Herbaceous",1.13315356163488,1.44888327970437,1.28550917236635,"2","0","Herbaceous_0"
"181","MONO","Herbaceous",3,15,20,"c3_Herbaceous",1.02778214213883,1.41305013985755,1.21439582812904,"3","0","Herbaceous_0"
"182","MONO","Shrub",1,6,20,"c1_Shrub",-0.135932374458034,0.367111382462234,0.115957871345646,"1","0","Shrub_0"
"183","MONO","Shrub",2,15,20,"c2_Shrub",-0.0652323709097937,0.259598355185252,0.101308550551521,"2","0","Shrub_0"
"184","MONO","Shrub",3,15,20,"c3_Shrub",-0.118675471650575,0.268452490542394,0.0866592297573955,"3","0","Shrub_0"
"185","MONO","Tree",1,6,20,"c1_Tree",-0.238498538345247,0.267042752696266,0.0170319382534347,"1","0","Tree_0"
"186","MONO","Tree",2,15,20,"c2_Tree",-0.15783537442968,0.170466365714456,0.00924646595796997,"2","0","Tree_0"
"187","MONO","Tree",3,15,20,"c3_Tree",-0.184494747130274,0.205296864087636,0.00146099366250529,"3","0","Tree_0"
"188","ANTI","Graminoid",1,7,21,"c1_Graminoid",-0.140788306233512,0.34443193226641,0.102239342851364,"1","1","Graminoid_1"
"189","ANTI","Graminoid",2,12,21,"c2_Graminoid",0.157596966422562,0.476303679270362,0.316154738006117,"2","1","Graminoid_1"
"190","ANTI","Graminoid",3,13,21,"c3_Graminoid",0.331551064465396,0.726806076462399,0.53007013316087,"3","1","Graminoid_1"
"191","ANTI","Herbaceous",1,7,21,"c1_Herbaceous",0.932366971188311,1.42108929033762,1.17552541678134,"1","0","Herbaceous_0"
"192","ANTI","Herbaceous",2,12,21,"c2_Herbaceous",1.01417781577297,1.32239548064856,1.17539070667254,"2","0","Herbaceous_0"
"193","ANTI","Herbaceous",3,13,21,"c3_Herbaceous",0.983271937465865,1.35758522481493,1.17525599656373,"3","0","Herbaceous_0"
"194","ANTI","Shrub",1,7,21,"c1_Shrub",-0.0165529704917844,0.464092102616668,0.215440248515267,"1","0","Shrub_0"
"195","ANTI","Shrub",2,12,21,"c2_Shrub",0.0309266435426555,0.348191885501998,0.19124094251353,"2","0","Shrub_0"
"196","ANTI","Shrub",3,13,21,"c3_Shrub",-0.0226727504312156,0.370058204988782,0.167041636511793,"3","0","Shrub_0"
"197","ANTI","Tree",1,7,21,"c1_Tree",-0.222180668024372,0.263578522774924,0.014116673619838,"1","0","Tree_0"
"198","ANTI","Tree",2,12,21,"c2_Tree",-0.111038475584493,0.204910657464971,0.0368908470168269,"2","0","Tree_0"
"199","ANTI","Tree",3,13,21,"c3_Tree",-0.130450812760354,0.25414015681627,0.0596650204138158,"3","0","Tree_0"
"200","CATO","Graminoid",1,49,22,"c1_Graminoid",0.247517519940502,0.409523654212474,0.328893812977139,"1","0","Graminoid_0"
"201","CATO","Graminoid",2,49,22,"c2_Graminoid",0.305474948331201,0.427728719236103,0.364878309689151,"2","0","Graminoid_0"
"202","CATO","Graminoid",3,49,22,"c3_Graminoid",0.322404256107664,0.479924186766229,0.400862806401163,"3","0","Graminoid_0"
"203","CATO","Herbaceous",1,49,22,"c1_Herbaceous",0.246211309149247,0.401197909297758,0.327096886197896,"1","0","Herbaceous_0"
"204","CATO","Herbaceous",2,49,22,"c2_Herbaceous",0.300084283019735,0.42358412279676,0.361727285368357,"2","0","Herbaceous_0"
