"","park","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign"
"100","ROVA",2,40,34,"c2",0.549597521829653,0.938290300666844,0.739870280606858,"2","0"
"101","ROVA",3,40,34,"c3",0.600124911613082,1.02100545809777,0.808912698272974,"3","0"
"102","MIMA",1,20,35,"c1",0.929890525442358,1.48001495563289,1.21032528883348,"1","1"
"103","MIMA",2,20,35,"c2",1.05101203961588,1.57575367344845,1.3059687948952,"2","1"
"104","MIMA",3,20,35,"c3",1.13632282774482,1.66411665285273,1.40161230095692,"3","1"
"105","SARA",1,31,36,"c1",0.680946432347909,1.12861844989027,0.911737483588794,"1","1"
"106","SARA",2,32,36,"c2",0.8969121626627,1.32375156368199,1.1102763032949,"2","1"
"107","SARA",3,32,36,"c3",1.08583413384296,1.53264059176585,1.30881512300101,"3","1"
"108","SAGA",1,21,37,"c1",-0.0322523283100019,0.138102227635043,0.0511796793012099,"1","0"
"109","SAGA",2,21,37,"c2",-0.00304367973725916,0.158124111718282,0.0750122976053071,"2","0"
"110","SAGA",3,21,37,"c3",0.0119406563272756,0.186984984088452,0.0988449159094043,"3","0"
"111","MABI",1,24,38,"c1",-0.0135190286628895,0.0323832055404348,0.00968848332398809,"1","0"
"112","MABI",2,24,38,"c2",0.00648674950729732,0.0399889306143509,0.0227223112170817,"2","0"
"113","MABI",3,24,38,"c3",0.0114306531754764,0.0584892851736877,0.0357561391101754,"3","0"
"114","ACAD",1,173,39,"c1",-0.0013171139402162,0.00127213014242209,-0.00000664423451100283,"1","0"
"115","ACAD",2,176,39,"c2",-0.000311582257882548,0.00175008881344555,0.000704016388922945,"2","0"
"116","ACAD",3,176,39,"c3",0.0000971559501578355,0.00279996459969654,0.00141467701235689,"3","0"
